appid,name,playtime_forever_min,playtime_forever_hrs,playtime_category,has_trading_cards,card_drops_remaining,achievements_status
252150,Grimm,176,2.93,Played,Yes,No,No Achievements
275390,Guacamelee! Super Turbo Championship Edition,87,1.45,Played,Yes,No,In Progress
678820,Gun-Running War Dogs,56,0.93,Short Playtime (< 1 hr),No,No,Not Started
608800,Guns of Icarus Alliance,58,0.97,Short Playtime (< 1 hr),No,No,Not Started
209080,Guns of Icarus Online,144,2.4,Played,Yes,No,Not Started
328100,Gunspell: Steam Edition,47,0.78,Short Playtime (< 1 hr),No,No,No Achievements
588210,HELLION,58,0.97,Short Playtime (< 1 hr),Yes,No,Not Started
1659040,HITMAN World of Assassination,0,0,Never Played,Yes,No,Not Started
236870,HITMAN™,148,2.47,Played,Yes,No,In Progress
863550,HITMAN™ 2,94,1.57,Played,Yes,No,In Progress
468330,HIVE,116,1.93,Played,Yes,No,Not Started
1271140,HUMANKIND™ - Closed Beta,94,1.57,Played,No,No,No Achievements
365450,Hacknet,201,3.35,Played,Yes,No,Not Started
70,Half-Life,0,0,Never Played,No,No,No Achievements
220,Half-Life 2,216,3.6,Played,Yes,No,Not Started
320,Half-Life 2: Deathmatch,0,0,Never Played,No,No,No Achievements
360,Half-Life Deathmatch: Source,0,0,Never Played,No,No,No Achievements
98400,Hard Reset,39,0.65,Short Playtime (< 1 hr),No,No,Not Started
485310,Head Shot,315,5.25,Played,Yes,No,No Achievements
797410,Headsnatchers,46,0.77,Short Playtime (< 1 hr),Yes,No,Not Started
1253880,Heart Fragment,38,0.63,Short Playtime (< 1 hr),No,No,Not Started
476480,Heaven Forest - VR MMO,114,1.9,Played,Yes,No,Not Started
400250,Heaven Island - VR MMO,220,3.67,Played,Yes,No,Not Started
422100,Heaven Island Life,29,0.48,Short Playtime (< 1 hr),Yes,No,No Achievements
331360,Heavy Metal Machines,47,0.78,Short Playtime (< 1 hr),Yes,No,No Achievements
344300,Heckabomb,114,1.9,Played,Yes,No,Not Started
259320,Heli Heroes,267,4.45,Played,Yes,No,No Achievements
802200,Hellbound: Survival Mode,46,0.77,Short Playtime (< 1 hr),No,No,No Achievements
1608450,Hellslave,0,0,Never Played,No,No,Not Started
1437820,Heroes of the Three Kingdoms,37,0.62,Short Playtime (< 1 hr),No,No,No Achievements
726070,Hidden Object - Sweet Home,138,2.3,Played,No,No,Completed
317920,Hills Of Glory 3D,47,0.78,Short Playtime (< 1 hr),No,No,No Achievements
427820,Hitman GO: Definitive Edition,158,2.63,Played,Yes,No,Not Started
586790,Hold your houses,219,3.65,Played,Yes,No,No Achievements
367520,Hollow Knight,1909,31.82,Long Playtime (> 10 hrs),Yes,No,In Progress
55100,Homefront,71,1.18,Played,No,No,Not Started
667360,Hooligan Vasja: Christmas,114,1.9,Played,No,No,Not Started
711770,Hotel Dracula,126,2.1,Played,No,No,No Achievements
609920,Hotshot Racing,0,0,Never Played,No,No,Not Started
850800,Huawei VR2 driver,0,0,Never Played,No,No,No Achievements
383270,Hue,429,7.15,Played,No,No,In Progress
402390,Hyperdrive Massacre,118,1.97,Played,Yes,No,Not Started
737530,I'm Lost,0,0,Never Played,No,No,Not Started
684200,Icons: Legacy Edition,56,0.93,Short Playtime (< 1 hr),No,No,No Achievements
627690,Idle Champions of the Forgotten Realms,426,7.1,Played,Yes,No,In Progress
45410,Ignite,80,1.33,Played,No,No,Not Started
1206790,Infinite Dronin,0,0,Never Played,No,No,Not Started
274980,Influent,259,4.32,Played,Yes,No,Not Started
242700,Injustice: Gods Among Us Ultimate Edition,63,1.05,Played,Yes,No,Not Started
575780,Inner silence,138,2.3,Played,Yes,No,Not Started
222880,Insurgency,105,1.75,Played,Yes,No,Not Started
579110,Interkosmos,71,1.18,Played,No,No,Not Started
1136160,Internet Cafe Simulator,0,0,Never Played,No,No,Not Started
1486630,Intravenous,0,0,Never Played,Yes,No,Not Started
224900,Iron Sky Invasion,176,2.93,Played,Yes,No,Not Started
2071500,Islands of Insight,0,0,Never Played,No,No,No Achievements
1703140,Isle of Jura,152,2.53,Played,Yes,No,Not Started
826600,I’m not a Monster,57,0.95,Short Playtime (< 1 hr),No,No,Not Started
253960,Jack Orlando Director's Cut,100,1.67,Played,Yes,No,No Achievements
630040,JackHammer,58,0.97,Short Playtime (< 1 hr),No,No,No Achievements
283270,Jagged Alliance Gold,66,1.1,Played,No,No,No Achievements
262260,Jets'n'Guns Gold,190,3.17,Played,Yes,No,Not Started
673220,Joumee The Hedgehog,56,0.93,Short Playtime (< 1 hr),No,No,Not Started
225540,Just Cause 3,659,10.98,Long Playtime (> 10 hrs),Yes,No,In Progress
343710,KHOLAT,137,2.28,Played,Yes,No,Not Started
757170,KOLOBOK,75,1.25,Played,No,No,No Achievements
1048540,Kao the Kangaroo: Round 2,51,0.85,Short Playtime (< 1 hr),Yes,No,Not Started
1194260,KartRider: Drift Closed Beta,57,0.95,Short Playtime (< 1 hr),No,No,No Achievements
370910,Kathy Rain,167,2.78,Played,Yes,No,Not Started
699240,Keyboard Killers,17,0.28,Short Playtime (< 1 hr),No,No,In Progress
232090,Killing Floor 2,328,5.47,Played,Yes,No,Not Started
1036440,Kingdom Wars 2: Definitive Edition,0,0,Never Played,No,No,Not Started
1300700,Kingdom Wars 4,0,0,Never Played,No,No,Not Started
368230,Kingdom: Classic,192,3.2,Played,Yes,No,Not Started
399230,Kitchen Simulator 2015,228,3.8,Played,Yes,No,No Achievements
254060,KnightShift,91,1.52,Played,Yes,No,No Achievements
1911390,Knightfall: A Daring Journey,80,1.33,Played,No,No,No Achievements
253900,Knights and Merchants,52,0.87,Short Playtime (< 1 hr),Yes,No,No Achievements
285160,LEGO® The Hobbit™,114,1.9,Played,No,No,Not Started
214510,LEGO® The Lord of the Rings™,57,0.95,Short Playtime (< 1 hr),No,No,Not Started
48000,LIMBO,526,8.77,Played,Yes,No,Completed
266010,LYNE,71,1.18,Played,Yes,No,Not Started
765100,Labirinto,71,1.18,Played,No,No,Not Started
35130,Lara Croft and the Guardian of Light,48,0.8,Short Playtime (< 1 hr),No,No,Not Started
289690,Lara Croft and the Temple of Osiris,130,2.17,Played,Yes,No,Not Started
452920,Laser Disco Defenders,130,2.17,Played,Yes,No,Not Started
730590,Laser League Beta,0,0,Never Played,No,No,No Achievements
749550,Lawnmower Game 2: Drifter,122,2.03,Played,No,No,No Achievements
391720,Layers of Fear (2016),121,2.02,Played,Yes,No,Not Started
42120,Lead and Gold - Gangs of the Wild West,131,2.18,Played,No,No,In Progress
